Date,AAPL,AMZN,IBM,TSLA,GOOG,sp500
12-01-2012,60.19857,175.929993,180.550003,28.25,313.644379,1295.5
13-01-2012,59.972858,178.419998,179.160004,22.790001,311.328064,1289.089966
17-01-2012,60.671429,181.660004,180,26.6,313.116364,1293.670044
18-01-2012,61.30143,189.440002,181.070007,26.809999,315.273285,1308.040039
19-01-2012,61.107143,194.449997,180.520004,26.76,318.590851,1314.5
20-01-2012,60.042858,190.929993,188.520004,26.6,291.900879,1315.380005
23-01-2012,61.058571,186.089996,189.979996,26.77,291.666748,1316
24-01-2012,60.058571,187,191.929993,27.42,289.380341,1314.650024
25-01-2012,63.808571,187.800003,191.729996,27.969999,283.681702,1326.060059
26-01-2012,63.51857,193.320007,190.979996,28.940001,282.989288,1318.430054
27-01-2012,63.897144,195.369995,190.460007,29.33,288.907104,1316.329956
30-01-2012,64.715714,192.149994,192.5,29.57,287.766388,1313.01001
31-01-2012,65.211426,194.440002,192.600006,29.07,288.971863,1312.410034
01-02-2012,65.169998,179.460007,192.619995,29.58,289.330505,1324.089966
02-02-2012,65.017143,181.720001,191.529999,30.25,291.462524,1325.540039
03-02-2012,65.668571,187.679993,193.639999,31.15,297.051575,1344.900024
06-02-2012,66.281425,183.139999,192.820007,31.799999,303.407745,1344.329956
07-02-2012,66.975716,184.190002,193.350006,31.6,302.252075,1347.050049
08-02-2012,68.097145,185.479996,192.949997,31.93,303.786346,1349.959961
09-02-2012,70.452858,184.979996,193.130005,32.580002,304.588318,1351.949951
10-02-2012,70.488571,185.539993,192.419998,31.1,301.8237,1342.640015
13-02-2012,71.800003,191.589996,192.619995,31.49,304.95694,1351.77002
14-02-2012,72.779999,191.300003,192.220001,33.169998,303.741516,1350.5
15-02-2012,71.095711,184.470001,192.25,33.599998,301.649353,1343.22998
16-02-2012,71.744286,179.929993,193.020004,34.18,302.127563,1358.040039
17-02-2012,71.73143,182.5,193.419998,34.970001,301.191071,1361.22998
21-02-2012,73.550003,182.259995,193.389999,34.5,305.853577,1362.209961
22-02-2012,73.291428,180.580002,193.869995,34.220001,302.8349,1357.660034
23-02-2012,73.769997,178.889999,197.610001,34.529999,301.923309,1363.459961
24-02-2012,74.629997,179.130005,197.759995,33.75,303.811249,1365.73999
27-02-2012,75.108574,178.529999,197.529999,33.619999,303.517334,1367.589966
28-02-2012,76.487144,183.800003,197.979996,33.810001,308.040375,1372.180054
29-02-2012,77.491432,179.690002,196.729996,33.41,307.970642,1365.680054
01-03-2012,77.781425,180.039993,197.529999,34.41,310.037903,1374.089966
02-03-2012,77.882858,179.300003,198.809998,34.040001,309.465057,1369.630005
05-03-2012,76.165718,180.259995,200.660004,33.77,305.978119,1364.329956
06-03-2012,75.751427,181.089996,197.259995,33.110001,301.350464,1343.359985
07-03-2012,75.812859,183.770004,197.770004,33.119999,302.267029,1352.630005
08-03-2012,77.427139,187.639999,199.809998,33.07,302.436401,1365.910034
09-03-2012,77.881432,184.320007,200.619995,34.740002,299.004272,1370.869995
12-03-2012,78.85714,183.389999,201,36.009998,301.445099,1371.089966
13-03-2012,81.157143,184.589996,203.779999,36.09,307.736542,1395.949951
14-03-2012,84.225716,182.259995,204.720001,35.290001,306.844879,1394.280029
15-03-2012,83.651428,184.429993,206,35,309.405273,1402.599976
16-03-2012,83.652855,185.050003,206.009995,35.32,311.352966,1404.170044
19-03-2012,85.871429,185.520004,205.720001,34.98,315.806274,1409.75
20-03-2012,86.565712,192.330002,204.25,34.959999,315.562195,1405.52002
21-03-2012,86.071426,191.729996,204.690002,35.150002,318.795074,1402.890015
22-03-2012,85.620003,192.399994,205.490005,34.400002,321.818756,1392.780029
23-03-2012,85.150002,195.039993,205.479996,34.080002,320.095215,1397.109985
26-03-2012,86.711426,202.869995,207.770004,37.400002,323.452606,1416.51001
27-03-2012,87.78286,205.440002,207.179993,37.939999,322.301941,1412.52002
28-03-2012,88.23143,201.160004,207.289993,37.849998,326.655609,1405.540039
29-03-2012,87.122856,204.610001,208.270004,37.330002,322.994324,1403.280029
30-03-2012,85.650002,202.509995,208.649994,37.240002,319.422729,1408.469971
02-04-2012,88.375717,198.050003,209.470001,36.580002,322.252106,1419.040039
03-04-2012,89.902855,199.660004,209.5,38.009998,320.110138,1413.380005
04-04-2012,89.187141,193.990005,206.050003,35,316.389099,1398.959961
05-04-2012,90.525711,194.389999,205.470001,34.48,314.97937,1398.079956
09-04-2012,90.889999,191.869995,204.940002,33.150002,314.242157,1382.199951
10-04-2012,89.777145,186.979996,202.330002,32.459999,312.259583,1358.589966
11-04-2012,89.457146,187.970001,202.580002,33.09,316.792572,1368.709961
12-04-2012,88.96714,190.690002,205.320007,33.439999,324.28949,1387.569946
13-04-2012,86.461426,188.460007,202.800003,33.59,311.133789,1370.26001
